sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AM,AMATURÁ,22,1182,2022-11-25 18:45:37
AM,ANAMÃ,13,3733,2022-11-25 18:45:37
AM,ANAMÃ,22,2051,2022-11-25 18:45:37
AM,ANORI,13,4010,2022-11-25 18:45:37
AM,ANORI,22,3036,2022-11-25 18:45:37
AM,APUÍ,13,2809,2022-11-25 18:45:37
AM,APUÍ,22,4924,2022-11-25 18:45:37
AM,ATALAIA DO NORTE,13,4660,2022-11-25 18:45:37
AM,ATALAIA DO NORTE,22,1136,2022-11-25 18:45:37
AM,AUTAZES,13,12283,2022-11-25 18:45:37
AM,AUTAZES,22,6806,2022-11-25 18:45:37
AM,BARCELOS,13,4616,2022-11-25 18:45:37
AM,BARCELOS,22,2483,2022-11-25 18:45:37
AM,BARREIRINHA,13,14079,2022-11-25 18:45:37
AM,BARREIRINHA,22,1327,2022-11-25 18:45:37
AM,BENJAMIN CONSTANT,13,13370,2022-11-25 18:45:37
AM,BENJAMIN CONSTANT,22,2623,2022-11-25 18:45:37
AM,BERURI,13,5381,2022-11-25 18:45:37
AM,BERURI,22,3158,2022-11-25 18:45:37
AM,BOA VISTA DO RAMOS,13,7837,2022-11-25 18:45:37
AM,BOA VISTA DO RAMOS,22,1072,2022-11-25 18:45:37
AM,BOCA DO ACRE,13,7050,2022-11-25 18:45:37
AM,BOCA DO ACRE,22,8499,2022-11-25 18:45:37
AM,BORBA,13,12371,2022-11-25 18:45:37
AM,BORBA,22,3281,2022-11-25 18:45:37
AM,CAAPIRANGA,13,3988,2022-11-25 18:45:37
AM,CAAPIRANGA,22,1980,2022-11-25 18:45:37
AM,CANUTAMA,13,3539,2022-11-25 18:45:37
AM,CANUTAMA,22,2951,2022-11-25 18:45:37
AM,CARAUARI,13,10998,2022-11-25 18:45:37
AM,CARAUARI,22,2936,2022-11-25 18:45:37
AM,CAREIRO,13,9949,2022-11-25 18:45:37
AM,CAREIRO,22,5570,2022-11-25 18:45:37
AM,CAREIRO DA VÁRZEA,13,6982,2022-11-25 18:45:37
AM,CAREIRO DA VÁRZEA,22,4183,2022-11-25 18:45:37
AM,COARI,13,19841,2022-11-25 18:45:37
AM,COARI,22,12829,2022-11-25 18:45:37
AM,CODAJÁS,13,6403,2022-11-25 18:45:37
AM,CODAJÁS,22,4206,2022-11-25 18:45:37
AM,EIRUNEPÉ,13,10435,2022-11-25 18:45:37
AM,EIRUNEPÉ,22,3653,2022-11-25 18:45:37
AM,ENVIRA,13,5064,2022-11-25 18:45:37
AM,ENVIRA,22,1971,2022-11-25 18:45:37
AM,FONTE BOA,13,8421,2022-11-25 18:45:37
AM,FONTE BOA,22,2480,2022-11-25 18:45:37
AM,GUAJARÁ,13,2891,2022-11-25 18:45:37
AM,GUAJARÁ,22,4407,2022-11-25 18:45:37
AM,HUMAITÁ,13,12406,2022-11-25 18:45:37
AM,HUMAITÁ,22,10935,2022-11-25 18:45:37
AM,IPIXUNA,13,4833,2022-11-25 18:45:37
AM,IPIXUNA,22,2264,2022-11-25 18:45:37
AM,IRANDUBA,13,15304,2022-11-25 18:45:37
AM,IRANDUBA,22,12590,2022-11-25 18:45:37
AM,ITACOATIARA,13,31621,2022-11-25 18:45:37
AM,ITACOATIARA,22,17807,2022-11-25 18:45:37
AM,ITAMARATI,13,3678,2022-11-25 18:45:37
AM,ITAMARATI,22,1106,2022-11-25 18:45:37
AM,ITAPIRANGA,13,3538,2022-11-25 18:45:37
AM,ITAPIRANGA,22,2457,2022-11-25 18:45:37
AM,JAPURÁ,13,1774,2022-11-25 18:45:37
AM,JAPURÁ,22,1128,2022-11-25 18:45:37
AM,JURUÁ,13,2870,2022-11-25 18:45:37
AM,JURUÁ,22,1801,2022-11-25 18:45:37
AM,JUTAÍ,13,6872,2022-11-25 18:45:37
AM,JUTAÍ,22,2222,2022-11-25 18:45:37
AM,LÁBREA,13,11683,2022-11-25 18:45:37
AM,LÁBREA,22,6242,2022-11-25 18:45:37
AM,MANACAPURU,13,28386,2022-11-25 18:45:37
AM,MANACAPURU,22,23667,2022-11-25 18:45:37
AM,MANAQUIRI,13,6562,2022-11-25 18:45:37
AM,MANAQUIRI,22,2906,2022-11-25 18:45:37
AM,MANAUS,13,437691,2022-11-25 18:45:37
AM,MANAUS,22,692580,2022-11-25 18:45:37
AM,MANICORÉ,13,15172,2022-11-25 18:45:37
AM,MANICORÉ,22,8056,2022-11-25 18:45:37
AM,MARAÃ,13,3785,2022-11-25 18:45:37
AM,MARAÃ,22,1433,2022-11-25 18:45:37
AM,MAUÉS,13,21003,2022-11-25 18:45:37
AM,MAUÉS,22,3701,2022-11-25 18:45:37
AM,NHAMUNDÁ,13,8939,2022-11-25 18:45:37
AM,NHAMUNDÁ,22,1457,2022-11-25 18:45:37
AM,NOVA OLINDA DO NORTE,13,10114,2022-11-25 18:45:37
AM,NOVA OLINDA DO NORTE,22,2673,2022-11-25 18:45:37
AM,NOVO AIRÃO,13,4166,2022-11-25 18:45:37
AM,NOVO AIRÃO,22,3727,2022-11-25 18:45:37
AM,NOVO ARIPUANÃ,13,6747,2022-11-25 18:45:37
AM,NOVO ARIPUANÃ,22,2105,2022-11-25 18:45:37
AM,PARINTINS,13,41689,2022-11-25 18:45:37
AM,PARINTINS,22,8809,2022-11-25 18:45:37
AM,PAUINI,13,4838,2022-11-25 18:45:37
AM,PAUINI,22,2237,2022-11-25 18:45:37
AM,PRESIDENTE FIGUEIREDO,13,9038,2022-11-25 18:45:37
AM,PRESIDENTE FIGUEIREDO,22,7935,2022-11-25 18:45:37
AM,RIO PRETO DA EVA,13,6752,2022-11-25 18:45:37
AM,RIO PRETO DA EVA,22,6081,2022-11-25 18:45:37
AM,SANTA ISABEL DO RIO NEGRO,13,3703,2022-11-25 18:45:37
AM,SANTA ISABEL DO RIO NEGRO,22,1305,2022-11-25 18:45:37
AM,SANTO ANTÔNIO DO IÇÁ,13,8849,2022-11-25 18:45:37
AM,SANTO ANTÔNIO DO IÇÁ,22,3150,2022-11-25 18:45:37
AM,SILVES,13,4771,2022-11-25 18:45:37
AM,SILVES,22,1081,2022-11-25 18:45:37
AM,SÃO GABRIEL DA CACHOEIRA,13,17090,2022-11-25 18:45:37
AM,SÃO GABRIEL DA CACHOEIRA,22,4103,2022-11-25 18:45:37
AM,SÃO PAULO DE OLIVENÇA,13,11922,2022-11-25 18:45:37
AM,SÃO PAULO DE OLIVENÇA,22,2231,2022-11-25 18:45:37
AM,SÃO SEBASTIÃO DO UATUMÃ,13,2546,2022-11-25 18:45:37
AM,SÃO SEBASTIÃO DO UATUMÃ,22,2279,2022-11-25 18:45:37
AM,TABATINGA,13,17368,2022-11-25 18:45:37
AM,TABATINGA,22,8582,2022-11-25 18:45:37
AM,TAPAUÁ,13,4648,2022-11-25 18:45:37
AM,TAPAUÁ,22,3967,2022-11-25 18:45:37
AM,TEFÉ,13,20281,2022-11-25 18:45:37
AM,TEFÉ,22,11300,2022-11-25 18:45:37
AM,TONANTINS,13,6307,2022-11-25 18:45:37
AM,TONANTINS,22,1298,2022-11-25 18:45:37
AM,UARINI,13,4087,2022-11-25 18:45:37
AM,UARINI,22,1936,2022-11-25 18:45:37
AM,URUCARÁ,13,6317,2022-11-25 18:45:37
AM,URUCARÁ,22,1908,2022-11-25 18:45:37
AM,URUCURITUBA,13,7073,2022-11-25 18:45:37
AM,URUCURITUBA,22,1836,2022-11-25 18:45:37
AP,AMAPÁ,13,2785,2022-11-25 18:45:37
AP,AMAPÁ,22,1663,2022-11-25 18:45:37
AP,CALÇOENE,13,3200,2022-11-25 18:45:37
AP,CALÇOENE,22,1986,2022-11-25 18:45:37
AP,CUTIAS,13,1844,2022-11-25 18:45:37
AP,CUTIAS,22,1248,2022-11-25 18:45:37
AP,FERREIRA GOMES,13,2153,2022-11-25 18:45:37
AP,FERREIRA GOMES,22,1862,2022-11-25 18:45:37
AP,ITAUBAL,13,2366,2022-11-25 18:45:37
AP,ITAUBAL,22,2047,2022-11-25 18:45:37
AP,LARANJAL DO JARI,13,11222,2022-11-25 18:45:37
AP,LARANJAL DO JARI,22,7296,2022-11-25 18:45:37
AP,MACAPÁ,13,102810,2022-11-25 18:45:37
AP,MACAPÁ,22,125261,2022-11-25 18:45:37
AP,MAZAGÃO,13,8466,2022-11-25 18:45:37
AP,MAZAGÃO,22,4967,2022-11-25 18:45:37
AP,OIAPOQUE,13,8150,2022-11-25 18:45:37
AP,OIAPOQUE,22,4444,2022-11-25 18:45:37
AP,PEDRA BRANCA DO AMAPARI,13,3590,2022-11-25 18:45:37
AP,PEDRA BRANCA DO AMAPARI,22,2856,2022-11-25 18:45:37
AP,PORTO GRANDE,13,5120,2022-11-25 18:45:37
AP,PORTO GRANDE,22,4112,2022-11-25 18:45:37
AP,PRACUÚBA,13,1269,2022-11-25 18:45:37
AP,PRACUÚBA,22,1069,2022-11-25 18:45:37
AP,SANTANA,13,27693,2022-11-25 18:45:37
AP,SANTANA,22,35397,2022-11-25 18:45:37
AP,SERRA DO NAVIO,13,1026,2022-11-25 18:45:37
AP,SERRA DO NAVIO,22,1543,2022-11-25 18:45:37
AP,TARTARUGALZINHO,13,3764,2022-11-25 18:45:37
AP,TARTARUGALZINHO,22,2756,2022-11-25 18:45:37
AP,VITÓRIA DO JARI,13,4460,2022-11-25 18:45:37
AP,VITÓRIA DO JARI,22,2040,2022-11-25 18:45:37
BA,ABARÉ,13,8936,2022-11-25 18:45:37
BA,ABARÉ,22,2586,2022-11-25 18:45:37
BA,ABAÍRA,13,3282,2022-11-25 18:45:37
BA,ABAÍRA,22,1836,2022-11-25 18:45:37
BA,ACAJUTIBA,13,6812,2022-11-25 18:45:37
BA,ACAJUTIBA,22,1788,2022-11-25 18:45:37
BA,ADUSTINA,13,7694,2022-11-25 18:45:37
BA,ADUSTINA,22,1562,2022-11-25 18:45:37
BA,AIQUARA,13,2254,2022-11-25 18:45:37
BA,AIQUARA,22,719,2022-11-25 18:45:37
BA,ALAGOINHAS,13,59147,2022-11-25 18:45:37
BA,ALAGOINHAS,22,26077,2022-11-25 18:45:37
BA,ALCOBAÇA,13,8986,2022-11-25 18:45:37
BA,ALCOBAÇA,22,3706,2022-11-25 18:45:37
BA,ALMADINA,13,2767,2022-11-25 18:45:37
BA,ALMADINA,22,700,2022-11-25 18:45:37
BA,AMARGOSA,13,14755,2022-11-25 18:45:37
BA,AMARGOSA,22,6678,2022-11-25 18:45:37
BA,AMÉLIA RODRIGUES,13,11878,2022-11-25 18:45:37
BA,AMÉLIA RODRIGUES,22,2919,2022-11-25 18:45:37
BA,AMÉRICA DOURADA,13,8303,2022-11-25 18:45:37
BA,AMÉRICA DOURADA,22,1547,2022-11-25 18:45:37
BA,ANAGÉ,13,11104,2022-11-25 18:45:37
BA,ANAGÉ,22,2977,2022-11-25 18:45:37
BA,ANDARAÍ,13,6423,2022-11-25 18:45:37
BA,ANDARAÍ,22,1001,2022-11-25 18:45:37
BA,ANDORINHA,13,8929,2022-11-25 18:45:37
BA,ANDORINHA,22,963,2022-11-25 18:45:37
BA,ANGICAL,13,7728,2022-11-25 18:45:37
BA,ANGICAL,22,2096,2022-11-25 18:45:37
BA,ANGUERA,13,5963,2022-11-25 18:45:37
BA,ANGUERA,22,1127,2022-11-25 18:45:37
BA,ANTAS,13,5682,2022-11-25 18:45:37
BA,ANTAS,22,2491,2022-11-25 18:45:37
BA,ANTÔNIO CARDOSO,13,8224,2022-11-25 18:45:37
