sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AL,ATALAIA,15,964,2022-11-25 18:45:37
AL,ATALAIA,16,5,2022-11-25 18:45:37
AL,ATALAIA,21,7,2022-11-25 18:45:37
AL,ATALAIA,22,7105,2022-11-25 18:45:37
AL,ATALAIA,27,1,2022-11-25 18:45:37
AL,ATALAIA,30,20,2022-11-25 18:45:37
AL,ATALAIA,44,142,2022-11-25 18:45:37
AL,ATALAIA,80,2,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,12,171,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,13,5358,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,14,9,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,15,292,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,16,1,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,21,5,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,22,3400,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,27,0,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,30,9,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,44,37,2022-11-25 18:45:37
AL,BARRA DE SANTO ANTÔNIO,80,1,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,12,146,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,13,2739,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,14,9,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,15,198,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,16,1,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,21,1,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,22,2769,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,27,0,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,30,5,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,44,37,2022-11-25 18:45:37
AL,BARRA DE SÃO MIGUEL,80,0,2022-11-25 18:45:37
AL,BATALHA,12,197,2022-11-25 18:45:37
AL,BATALHA,13,6244,2022-11-25 18:45:37
AL,BATALHA,14,9,2022-11-25 18:45:37
AL,BATALHA,15,345,2022-11-25 18:45:37
AL,BATALHA,16,1,2022-11-25 18:45:37
AL,BATALHA,21,1,2022-11-25 18:45:37
AL,BATALHA,22,2727,2022-11-25 18:45:37
AL,BATALHA,27,0,2022-11-25 18:45:37
AL,BATALHA,30,8,2022-11-25 18:45:37
AL,BATALHA,44,64,2022-11-25 18:45:37
AL,BATALHA,80,1,2022-11-25 18:45:37
AL,BELO MONTE,12,86,2022-11-25 18:45:37
AL,BELO MONTE,13,3192,2022-11-25 18:45:37
AL,BELO MONTE,14,3,2022-11-25 18:45:37
AL,BELO MONTE,15,159,2022-11-25 18:45:37
AL,BELO MONTE,16,0,2022-11-25 18:45:37
AL,BELO MONTE,21,1,2022-11-25 18:45:37
AL,BELO MONTE,22,1006,2022-11-25 18:45:37
AL,BELO MONTE,27,0,2022-11-25 18:45:37
AL,BELO MONTE,30,0,2022-11-25 18:45:37
AL,BELO MONTE,44,14,2022-11-25 18:45:37
AL,BELO MONTE,80,0,2022-11-25 18:45:37
AL,BELÉM,12,51,2022-11-25 18:45:37
AL,BELÉM,13,2442,2022-11-25 18:45:37
AL,BELÉM,14,4,2022-11-25 18:45:37
AL,BELÉM,15,187,2022-11-25 18:45:37
AL,BELÉM,16,0,2022-11-25 18:45:37
AL,BELÉM,21,2,2022-11-25 18:45:37
AL,BELÉM,22,790,2022-11-25 18:45:37
AL,BELÉM,27,0,2022-11-25 18:45:37
AL,BELÉM,30,3,2022-11-25 18:45:37
AL,BELÉM,44,8,2022-11-25 18:45:37
AL,BELÉM,80,1,2022-11-25 18:45:37
AL,BOCA DA MATA,12,274,2022-11-25 18:45:37
AL,BOCA DA MATA,13,7789,2022-11-25 18:45:37
AL,BOCA DA MATA,14,32,2022-11-25 18:45:37
AL,BOCA DA MATA,15,435,2022-11-25 18:45:37
AL,BOCA DA MATA,16,2,2022-11-25 18:45:37
AL,BOCA DA MATA,21,2,2022-11-25 18:45:37
AL,BOCA DA MATA,22,4872,2022-11-25 18:45:37
AL,BOCA DA MATA,27,1,2022-11-25 18:45:37
AL,BOCA DA MATA,30,15,2022-11-25 18:45:37
AL,BOCA DA MATA,44,108,2022-11-25 18:45:37
AL,BOCA DA MATA,80,2,2022-11-25 18:45:37
AL,BRANQUINHA,12,119,2022-11-25 18:45:37
AL,BRANQUINHA,13,4230,2022-11-25 18:45:37
AL,BRANQUINHA,14,6,2022-11-25 18:45:37
AL,BRANQUINHA,15,275,2022-11-25 18:45:37
