,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
353,AL,CACIMBINHAS,13,4189,4147
354,AL,CACIMBINHAS,14,5,0
355,AL,CACIMBINHAS,15,306,0
356,AL,CACIMBINHAS,16,0,0
357,AL,CACIMBINHAS,21,2,0
358,AL,CACIMBINHAS,22,1310,1440
359,AL,CACIMBINHAS,27,1,0
360,AL,CACIMBINHAS,30,7,0
361,AL,CACIMBINHAS,44,10,0
362,AL,CACIMBINHAS,80,0,0
363,AL,CAJUEIRO,12,208,0
364,AL,CAJUEIRO,13,6482,6416
365,AL,CAJUEIRO,14,19,0
366,AL,CAJUEIRO,15,385,0
367,AL,CAJUEIRO,16,2,0
368,AL,CAJUEIRO,21,3,0
369,AL,CAJUEIRO,22,2840,2991
370,AL,CAJUEIRO,27,0,0
371,AL,CAJUEIRO,30,7,0
372,AL,CAJUEIRO,44,60,0
373,AL,CAJUEIRO,80,0,0
374,AL,CAMPESTRE,12,108,0
375,AL,CAMPESTRE,13,2685,2695
376,AL,CAMPESTRE,14,6,0
377,AL,CAMPESTRE,15,149,0
378,AL,CAMPESTRE,16,0,0
379,AL,CAMPESTRE,21,0,0
380,AL,CAMPESTRE,22,1074,1089
381,AL,CAMPESTRE,27,2,0
382,AL,CAMPESTRE,30,2,0
383,AL,CAMPESTRE,44,16,0
384,AL,CAMPESTRE,80,2,0
385,AL,CAMPO ALEGRE,12,349,0
386,AL,CAMPO ALEGRE,13,11834,11486
387,AL,CAMPO ALEGRE,14,24,0
388,AL,CAMPO ALEGRE,15,368,0
389,AL,CAMPO ALEGRE,16,1,0
390,AL,CAMPO ALEGRE,21,3,0
391,AL,CAMPO ALEGRE,22,5279,6012
392,AL,CAMPO ALEGRE,27,1,0
393,AL,CAMPO ALEGRE,30,18,0
394,AL,CAMPO ALEGRE,44,189,0
395,AL,CAMPO ALEGRE,80,1,0
396,AL,CAMPO GRANDE,12,131,0
397,AL,CAMPO GRANDE,13,5082,5048
398,AL,CAMPO GRANDE,14,7,0
399,AL,CAMPO GRANDE,15,187,0
400,AL,CAMPO GRANDE,16,1,0
401,AL,CAMPO GRANDE,21,2,0
402,AL,CAMPO GRANDE,22,1136,1197
403,AL,CAMPO GRANDE,27,0,0
404,AL,CAMPO GRANDE,30,1,0
405,AL,CAMPO GRANDE,44,15,0
406,AL,CAMPO GRANDE,80,0,0
407,AL,CANAPI,12,190,0
408,AL,CANAPI,13,7512,7473
409,AL,CANAPI,14,4,0
410,AL,CANAPI,15,263,0
411,AL,CANAPI,16,1,0
412,AL,CANAPI,21,1,0
413,AL,CANAPI,22,1239,1365
414,AL,CANAPI,27,0,0
415,AL,CANAPI,30,4,0
416,AL,CANAPI,44,87,0
417,AL,CANAPI,80,3,0
418,AL,CAPELA,12,180,0
419,AL,CAPELA,13,5477,5228
420,AL,CAPELA,14,14,0
421,AL,CAPELA,15,384,0
422,AL,CAPELA,16,1,0
423,AL,CAPELA,21,1,0
424,AL,CAPELA,22,3392,3523
425,AL,CAPELA,27,1,0
426,AL,CAPELA,30,7,0
427,AL,CAPELA,44,23,0
428,AL,CAPELA,80,1,0
429,AL,CARNEIROS,12,102,0
430,AL,CARNEIROS,13,3945,3888
431,AL,CARNEIROS,14,4,0
432,AL,CARNEIROS,15,239,0
433,AL,CARNEIROS,16,3,0
434,AL,CARNEIROS,21,0,0
435,AL,CARNEIROS,22,726,810
436,AL,CARNEIROS,27,0,0
437,AL,CARNEIROS,30,6,0
438,AL,CARNEIROS,44,14,0
439,AL,CARNEIROS,80,2,0
440,AL,CHÃ PRETA,12,63,0
441,AL,CHÃ PRETA,13,3193,3126
442,AL,CHÃ PRETA,14,9,0
443,AL,CHÃ PRETA,15,178,0
444,AL,CHÃ PRETA,16,0,0
445,AL,CHÃ PRETA,21,1,0
446,AL,CHÃ PRETA,22,909,963
447,AL,CHÃ PRETA,27,0,0
448,AL,CHÃ PRETA,30,0,0
449,AL,CHÃ PRETA,44,19,0
450,AL,CHÃ PRETA,80,1,0
451,AL,COITÉ DO NÓIA,12,173,0
452,AL,COITÉ DO NÓIA,13,5049,5033
453,AL,COITÉ DO NÓIA,14,6,0
454,AL,COITÉ DO NÓIA,15,207,0
455,AL,COITÉ DO NÓIA,16,0,0
456,AL,COITÉ DO NÓIA,21,1,0
457,AL,COITÉ DO NÓIA,22,1109,1378
458,AL,COITÉ DO NÓIA,27,0,0
459,AL,COITÉ DO NÓIA,30,7,0
460,AL,COITÉ DO NÓIA,44,60,0
461,AL,COITÉ DO NÓIA,80,1,0
462,AL,COLÔNIA LEOPOLDINA,12,203,0
463,AL,COLÔNIA LEOPOLDINA,13,5517,5286
464,AL,COLÔNIA LEOPOLDINA,14,21,0
465,AL,COLÔNIA LEOPOLDINA,15,305,0
466,AL,COLÔNIA LEOPOLDINA,16,2,0
467,AL,COLÔNIA LEOPOLDINA,21,2,0
468,AL,COLÔNIA LEOPOLDINA,22,4190,4366
